,text,intent
247,mark down that i will be in rome from february 1 to march 1 and enlightened my bank,13
248,tell my bank i am taking a trip to brazil from june 1st to july 1st,13
249,tell the bank i'm going on a trip to brazil from june 1 to july 1st,13
250,tell my bank i'm on a trip to brazil from june 1 to july 1,13
251,tell my bank i am taking a journeys to brazil from june 1st to july 1st,13
252,do you know of any activities in nashville,14
253,do you know anything about any activity in nashville,14
254,know all activities in nashville,14
255,do you know of any efforts in nashville,14
256,name some things i should do while in evans,14
257,what i'm supposed to do in evans,14
258,name tail things i should just when in evans,14
259,name some items i should do while in evans,14
260,are there any fun tourist things to do in boston,14
261,there are fun things for tourists to just boston,14
262,are there any fun tourism things to do in boston,14
263,help me find things to do in nashville,14
264,help me find something to do in nashville,14
265,help me fix what i can do in nashville,14
266,assist me find things to do in nashville,14
267,what's the best place to travel to this time of year,14
268,"at this time of year, where is the best place to travel",14
269,which is the best place to travel this season,14
270,what's the best place to journey to this time of year,14
